address,zipcode,price,sqft,bedroom,bathroom,latitude,longitude,Property Type
"57 Park Ter W  #1C, New York, NY 10034",10034,335000,500,0,1.0,40.871033,-73.918015,coop
"45 Park Ter W  #4H, New York, NY 10034",10034,385000,915,1,1.0,40.870853,-73.91827,coop
"251 Seaman Ave #1J, New York, NY 10034",10034,249000,585,0,1.0,40.87168,-73.91782,coop
"251 Seaman Ave #5F, New York, NY 10034",10034,699000,1150,2,2.0,40.87168,-73.91782,coop
"57 Park Ter W  #4G, New York, NY 10034",10034,489000,875,1,1.0,40.87124,-73.9179,coop
"70 Park Ter E  #6G, New York, NY 10034",10034,260000,500,0,1.0,40.870766,-73.91592,coop
"24 Cooper St   #1D, New York, NY 10034",10034,195000,641,1,1.0,40.867687,-73.92461,coop
"90 Park Ter E  #3A, New York, NY 10034",10034,339000,655,1,1.0,40.87098,-73.915565,coop
"57 Park Ter W  #3F, New York, NY 10034",10034,299000,550,0,1.0,40.87124,-73.9179,coop
"251 Seaman Ave  #GRA, New York, NY 10034",10034,329900,725,1,1.0,40.871758,-73.91776,coop
"251 Seaman Avenue UNIT GRA, New York, NY 10034",10034,329900,725,1,1.0,40.87168,-73.91782,coop
"62 Park Ter W  #A75, New York, NY 10034",10034,529900,950,2,1.0,40.871124,-73.917404,coop
"50 Park Ter E  #3H, New York, NY 10034",10034,359000,650,1,1.0,40.870174,-73.916725,coop
"57 Park Ter  E  #B35, New York, NY 10034",10034,489000,950,2,1.0,40.870632,-73.91707,coop
"65 Park Ter E  #C29, New York, NY 10034",10034,675000,1175,2,2.0,40.87071,-73.91657,coop
"585 W  214th St #4B, New York, NY 10034",10034,399000,750,1,1.0,40.871834,-73.91952,coop
"57 Park Ter W  #5B, New York, NY 10034",10034,575000,950,2,1.0,40.87124,-73.9179,coop
"675 Academy St #4C, New York, NY 10034",10034,450000,875,2,1.0,40.866997,-73.92507,coop
"5700 Arlington Avenue UNIT 11P, Bronx, NY 10471",10471,140000,500,0,1.0,40.906563,-73.90659,coop
"3321 Bruckner Boulevard UNIT 6C, Bronx, NY 10461",10461,110000,734,1,1.0,40.841988,-73.82646,coop
"2246 Lafayette Avenue, Bronx, NY 10473",10473,575000,1636,4,3.0,40.82328,-73.84676,single-family home
"852 Leland Ave #29C, Bronx, NY 10473",10473,335000,936,2,2.0,40.822598,-73.86096,condo
"1752 Bartow Avenue, Bronx, NY 10469",10469,720000,1764,5,3.0,40.866795,-73.83692,multi-family
"829 E  226th St, Bronx, NY 10466",10466,10,3688,3,1.0,40.887466,-73.85602,apartment
"938 Hollywood Avenue, Bronx, NY 10465",10465,600000,1472,3,2.0,40.832245,-73.822945,single-family home
"1444 Shore Drive UNIT 1G, Bronx, NY 10465",10465,450000,2074,2,2.0,40.834526,-73.816055,condo
"174 Revere Avenue, Bronx, NY 10465",10465,570000,1584,3,2.0,40.815384,-73.81614,single-family home
"252 W  256th St, Bronx, NY 10471",10471,1142500,3102,7,5.0,40.903477,-73.89893,multi-family
"1966 Newbold Avenue UNIT 1407, Bronx, NY 10472",10472,134000,803,1,1.0,40.832066,-73.85971,coop
"645 Barretto Street UNIT 5E, Bronx, NY 10474",10474,135000,850,2,1.0,40.813503,-73.88938,coop
"53 W  174th St, Bronx, NY 10453",10453,1185000,711,1,1.0,40.84763,-73.91537,apartment
"3044 Decatur Ave, Bronx, NY 10467",10467,1250000,5376,11,4.0,40.8705,-73.87939,multi-family
"908 Olmstead Ave, Bronx, NY 10473",10473,573000,2156,4,2.0,40.825344,-73.852356,multi-family
"1231 Manor Ave, Bronx, NY 10472",10472,475000,2100,4,2.0,40.82999,-73.87693,multi-family
